"Longitude","Latitude","Rainfall","Return_Period","Distribution"
"005853W","380404N",355.4,"200","GEV"
"005702W","380454N",185.6,"200","GEV"
"010220W","382418N",151.4,"200","GEV"
"005246W","380721N",162.7,"200","GEV"
"004806W","380720N",92.1,"200","GEV"
"004255W","380517N",292.3,"200","GEV"
"003830W","380837N",157.4,"200","GEV"
"004624W","383820N",186.8,"200","GEV"
"005504W","384141N",174.4,"200","GEV"
"005156W","383437N",149.4,"200","GEV"
"004559W","382257N",190.6,"200","GEV"
"004621W","382024N",160.5,"200","GEV"
"004139W","381606N",146.4,"200","GEV"
"004239W","381547N",155.4,"200","GEV"
"002939W","382221N",273.8,"200","GEV"
"003409W","383729N",173.5,"200","GEV"
"003415W","383138N",203.3,"200","GEV"
"000606W","384152N",423.7,"200","GEV"
"000719W","383859N",283.1,"200","GEV"
"000654W","385013N",373.6,"200","GEV"
"002122W","384309N",261.8,"200","GEV"
"002113W","384538N",281.5,"200","GEV"
"002946W","395533N",188,"200","GEV"
"002931W","395058N",209.5,"200","GEV"
"001343W","394910N",374.4,"200","GEV"
"001151W","395543N",227.6,"200","GEV"
"000635W","395716N",216.9,"200","GEV"
"004150W","400059N",168.2,"200","GEV"
"002509W","400757N",155.2,"200","GEV"
"001521W","402600N",207,"200","GEV"
"001011W","401255N",270.4,"200","GEV"
"000939W","400142N",210.9,"200","GEV"
"000419W","395726N",205.6,"200","GEV"
"000937W","400143N",230,"200","GEV"
"000603W","403710N",244.8,"200","GEV"
"010320W","390334N",219.7,"200","LP3"
"010312W","390612N",224.8,"200","LP3"
"012949W","393212N",118.4,"200","LP3"
"003708W","384548N",245,"200","LP3"
"003628W","384946N",344.2,"200","LP3"
"002413W","385023N",328.9,"200","LP3"
"002817W","385026N",318,"200","LP3"
"002523W","390328N",483.7,"200","LP3"
"001343W","394356N",118,"200","LP3"
"010600W","392919N",202.7,"200","LP3"
"002244W","392559N",365.5,"200","LP3"
"010620W","394339N",179.6,"200","LP3"
"010227W","394552N",193,"200","LP3"
"010036W","394502N",265.3,"200","LP3"
"005830W","393531N",293.4,"200","LP3"
"004936W","394404N",181.6,"200","LP3"
"002829W","392906N",250.3,"200","LP3"
"002159W","392850N",317.2,"200","LP3"
"001934W","393329N",290.6,"200","LP3"
"004306W","375924N",280.4,"200","LP3"
"004244W","380203N",266.1,"200","LP3"
"005853W","380404N",294.9,"200","LP3"
"005702W","380454N",174.2,"200","LP3"
"010220W","382418N",141.8,"200","LP3"
"005246W","380721N",135.9,"200","LP3"
"004806W","380720N",90.3,"200","LP3"
"004255W","380517N",297.1,"200","LP3"
"003830W","380837N",149,"200","LP3"
"004624W","383820N",199.4,"200","LP3"
"005504W","384141N",158.6,"200","LP3"
"005156W","383437N",150.8,"200","LP3"
"004559W","382257N",192.5,"200","LP3"
"004621W","382024N",134.2,"200","LP3"
"004139W","381606N",142.7,"200","LP3"
"004239W","381547N",159.3,"200","LP3"
"002939W","382221N",252.2,"200","LP3"
"003409W","383729N",162.7,"200","LP3"
"003415W","383138N",224.9,"200","LP3"
"000606W","384152N",445.4,"200","LP3"
"000719W","383859N",279.9,"200","LP3"
"000654W","385013N",359.8,"200","LP3"
"002122W","384309N",258.5,"200","LP3"
"002113W","384538N",280.5,"200","LP3"
"002946W","395533N",194.9,"200","LP3"
"002931W","395058N",214.5,"200","LP3"
"001343W","394910N",403.8,"200","LP3"
"001151W","395543N",211.9,"200","LP3"
"000635W","395716N",235.9,"200","LP3"
"004150W","400059N",178.2,"200","LP3"
"002509W","400757N",155.1,"200","LP3"
"001521W","402600N",207.2,"200","LP3"
"001011W","401255N",266.3,"200","LP3"
"000939W","400142N",233.5,"200","LP3"
"000419W","395726N",222.7,"200","LP3"
"000937W","400143N",253.8,"200","LP3"
"000603W","403710N",227.4,"200","LP3"
