INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8006I,1972,11,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,40.0,26.0,
8006I,1973,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,28.3,11.0,
8006I,1974,2,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,38.0,19.0,
8006I,1975,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,33.0,10.0,
8006I,1976,2,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,38.5,5.0,
8006I,1977,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,44.0,18.0,
8006I,1978,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,26.0,13.0,
8006I,1979,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,22.5,21.0,
8006I,1980,12,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,38.8,29.0,
8006I,1981,4,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,24.8,2.0,
8006I,1982,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,57.5,19.0,
8006I,1983,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,52.0,8.0,
8006I,1984,11,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,42.7,10.0,
8006I,1985,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,45.7,23.0,
8006I,1986,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,67.0,30.0,
8006I,1987,11,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,34.5,4.0,
8006I,1988,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,40.2,10.0,
8006I,1989,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,86.5,4.0,
8006I,1990,5,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,28.6,23.0,
8006I,1991,3,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,21.8,13.0,
8006I,1992,2,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,32.1,20.0,
8006I,1993,2,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,46.9,2.0,
8006I,1994,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,22.8,9.0,
8006I,1995,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,56.0,7.0,
8006I,1996,5,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,42.0,9.0,
8006I,1997,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,192.0,18.0,
8006I,1998,12,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,39.0,2.0,
8006I,1999,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,16.3,20.0,
8006I,2000,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,31.3,23.0,
8006I,2001,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,57.5,31.0,
8006I,2002,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,34.3,23.0,
8006I,2003,4,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,32.5,15.0,
8006I,2004,5,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,25.7,10.0,
8006I,2005,4,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,20.8,3.0,
8006I,2006,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,32.7,8.0,
8006I,2007,10,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,49.5,11.0,
8006I,2008,5,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,28.7,8.0,
8006I,2010,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,34.5,18.0,
8006I,2011,11,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,80.1,22.0,
8006I,2012,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,69.8,28.0,
8006I,2013,8,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,42.4,27.0,
8006I,2014,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,58.5,16.0,
8006I,2015,11,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,40.8,1.0,
8006I,2016,12,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,69.0,18.0,
8006I,2017,1,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,79.7,19.0,
8006I,2018,1,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,60.6,27.0,
8006I,2019,4,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,59.8,19.0,
8006I,2020,1,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,91.3,19.0,
8006I,2021,6,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,44.1,5.0,
8006I,2022,3,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,71.3,17.0,
8006I,2023,5,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,51.0,22.0,
8006I,2024,9,VILLENA (LA VEREDA),533,681084,4284959,ALICANTE,57.6,2.0,
