INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8501A,1948,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,87.1,24.0,
8501A,1949,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,139.6,29.0,
8501A,1950,5,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.0,13.0,
8501A,1951,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,74.0,13.0,
8501A,1952,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.4,19.0,
8501A,1953,6,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,57.5,6.0,
8501A,1954,3,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,40.0,13.0,
8501A,1955,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,70.0,3.0,
8501A,1956,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,91.0,24.0,
8501A,1957,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,94.0,15.0,
8501A,1959,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,75.0,22.0,
8501A,1960,6,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.0,8.0,
8501A,1961,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,78.0,16.0,
8501A,1963,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,123.0,15.0,
8501A,1964,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,30.0,18.0,
8501A,1965,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,40.4,30.0,
8501A,1966,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,138.4,11.0,
8501A,1967,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,28.9,9.0,
8501A,1968,8,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,76.2,29.0,
8501A,1969,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,110.0,5.0,
8501A,1970,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,37.5,11.0,
8501A,1971,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,83.4,4.0,
8501A,1972,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,111.4,6.0,
8501A,1973,8,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,75.0,24.0,
8501A,1974,8,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,49.5,19.0,
8501A,1975,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,84.0,8.0,
8501A,1976,7,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,45.3,5.0,
8501A,1977,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,63.0,18.0,
8501A,1978,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,27.0,4.0,
8501A,1979,1,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,74.9,21.0,
8501A,1980,4,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,62.9,28.0,
8501A,1981,4,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,59.1,2.0,
8501A,1982,4,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,107.5,17.0,
8501A,1983,8,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,37.7,22.0,
8501A,1984,5,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,64.3,14.0,
8501A,1985,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,129.6,26.0,
8501A,1987,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,85.1,3.0,
8501A,1988,4,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,65.0,2.0,
8501A,1989,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,165.5,4.0,
8501A,1990,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,105.3,10.0,
8501A,1991,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,44.5,29.0,
8501A,1992,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,91.8,24.0,
8501A,1993,2,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.0,4.0,
8501A,1994,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,164.0,9.0,
8501A,1995,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,42.0,10.0,
8501A,1996,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,52.5,10.0,
8501A,1997,1,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,30.5,2.0,
8501A,1998,1,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,48.5,23.0,
8501A,1999,9,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,27.0,6.0,
8501A,2000,10,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,133.3,24.0,
8501A,2001,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,71.0,3.0,
8501A,2002,5,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.0,7.0,
8501A,2004,3,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,46.8,29.0,
8501A,2005,11,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,163.0,10.0,
8501A,2006,2,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,87.0,26.0,
8501A,2007,12,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,76.0,21.0,
8501A,2008,5,CASTELLON C H JUCAR,147,742314,4434798,CASTELLON,33.0,9.0,
