INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8039A,1955,1,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,89.5,27.0,
8039A,1956,1,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,82.5,5.0,
8039A,1957,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,118.1,24.0,
8039A,1958,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,172.9,27.0,
8039A,1959,2,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,99.1,14.0,
8039A,1960,6,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,161.0,8.0,
8039A,1969,4,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,103.3,29.0,
8039A,1970,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,40.0,16.0,
8039A,1971,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,210.7,6.0,
8039A,1972,12,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,145.2,30.0,
8039A,1973,3,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,205.0,22.0,
8039A,1974,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,121.9,25.0,
8039A,1975,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,65.9,26.0,
8039A,1976,5,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,86.9,1.0,
8039A,1977,5,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,78.1,18.0,
8039A,1978,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,110.8,19.0,
8039A,1979,1,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,34.7,21.0,
8039A,1980,1,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,134.7,14.0,
8039A,1981,4,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,38.5,15.0,
8039A,1982,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,68.5,31.0,
8039A,1983,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,38.0,16.0,
8039A,1984,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,75.6,10.0,
8039A,1985,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,63.2,14.0,
8039A,1986,9,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,241.1,29.0,
8039A,1987,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,79.1,3.0,
8039A,1988,9,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,140.5,30.0,
8039A,1989,9,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,255.6,4.0,
8039A,1991,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,143.5,23.0,
8039A,1992,5,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,200.0,3.0,
8039A,1993,11,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,162.4,25.0,
8039A,1994,1,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,69.4,17.0,
8039A,1995,3,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,83.6,12.0,
8039A,1996,9,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,74.3,10.0,
8039A,1997,12,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,250.2,4.0,
8039A,1998,12,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,52.7,2.0,
8039A,1999,3,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,31.4,14.0,
8039A,2000,10,TARBENA  C H JUCAR POBLE DE DALT,587,752060,4287229,ALICANTE,109.9,23.0,
