INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,C_X,C_Y,NOM_PROV,PMAX77,D1PMAX,D2PMAX
8414A,1966,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,115.8,10.0,
8414A,1967,2,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,33.1,12.0,
8414A,1968,1,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,72.4,31.0,
8414A,1969,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,121.3,5.0,
8414A,1970,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,31.6,8.0,
8414A,1971,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,186.9,6.0,
8414A,1972,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,37.4,9.0,
8414A,1973,6,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,67.8,4.0,
8414A,1974,3,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,77.6,20.0,
8414A,1975,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,77.2,5.0,
8414A,1976,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,31.7,25.0,
8414A,1977,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,66.6,24.0,
8414A,1978,4,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,20.7,11.0,
8414A,1979,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,33.7,17.0,
8414A,1980,2,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,84.7,26.0,
8414A,1981,4,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,27.6,20.0,
8414A,1982,8,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,82.8,27.0,
8414A,1983,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,50.3,5.0,
8414A,1984,2,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,45.5,28.0,
8414A,1985,8,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,47.0,1.0,
8414A,1986,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,119.9,5.0,
8414A,1987,1,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,71.6,22.0,
8414A,1988,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,69.2,11.0,
8414A,1989,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,175.9,4.0,
8414A,1990,7,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,123.0,15.0,
8414A,1991,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,90.9,13.0,
8414A,1992,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,55.5,24.0,
8414A,1993,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,49.8,26.0,
8414A,1994,4,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,46.6,19.0,
8414A,1995,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,81.7,11.0,
8414A,1996,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,48.6,11.0,
8414A,1997,5,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,29.4,24.0,
8414A,1998,1,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,70.0,29.0,
8414A,1999,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,37.4,5.0,
8414A,2000,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,153.3,23.0,
8414A,2001,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,97.2,19.0,
8414A,2002,5,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,58.9,7.0,
8414A,2003,4,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,40.4,15.0,
8414A,2004,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,61.1,2.0,
8414A,2005,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,43.1,10.0,
8414A,2006,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,77.8,7.0,
8414A,2007,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,94.2,11.0,
8414A,2008,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,70.0,9.0,
8414A,2009,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,85.4,28.0,
8414A,2010,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,35.5,12.0,
8414A,2011,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,47.3,20.0,
8414A,2012,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,188.9,28.0,
8414A,2013,2,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,43.9,28.0,
8414A,2014,12,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,43.1,14.0,
8414A,2015,6,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,55.4,15.0,
8414A,2016,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,112.1,27.0,
8414A,2017,1,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,88.8,19.0,
8414A,2018,10,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,94.5,18.0,
8414A,2019,4,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,49.4,18.0,
8414A,2020,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,84.8,27.0,
8414A,2021,9,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,72.0,1.0,
8414A,2022,11,VALENCIA/AEROPUERTO,56,717181,4373646,VALENCIA,148.4,11.0,
